id,latitude,longitude,event_type,description,update_at
173,-14.16,-73.75,Sismo,"Magnitud: 5.0, Referencia: 12 km al SE de Soras, Sucre - Ayacucho",2024-02-10 03:29:16
174,-11.01,-78.28,Sismo,"Magnitud: 3.8, Referencia: 63 km al O de Supe Puerto, Barranca - Lima",2024-02-10 10:47:16
175,-12.97,-76.88,Sismo,"Magnitud: 3.7, Referencia: 45 km al SO de Mala, Cañete - Lima",2024-02-10 09:42:16
176,-15.83,-75.42,Sismo,"Magnitud: 4.0, Referencia: 59 km al SO de Marcona, Nazca - Ica",2024-02-11 07:01:16
177,-9.73,-78.64,Sismo,"Magnitud: 4.0, Referencia: 47 km al SO de Casma, Casma - Ancash",2024-02-11 18:26:16
178,-8.85,-75.97,Sismo,"Magnitud: 4.5, Referencia: 18 km al NE de Aucayacu, Leoncio Prado - Huanuco",2024-02-11 23:28:16
179,-8.36,-75.59,Sismo,"Magnitud: 4.2, Referencia: 48 km al O de Curimana, Padre Abad - Ucayali",2024-02-12 01:49:16
180,-8.42,-75.59,Sismo,"Magnitud: 4.0, Referencia: 47 km al O de Curimana, Padre Abad - Ucayali",2024-02-12 06:53:16
181,-8.53,-75.84,Sismo,"Magnitud: 4.0, Referencia: 55 km al NE de Aucayacu, Leoncio Prado - Huanuco",2024-02-12 06:52:16
182,-16.27,-72.07,Sismo,"Magnitud: 4.0, Referencia: 26 km al NO de Vitor, Arequipa - Arequipa",2024-02-12 22:28:42
183,-15.75,-71.79,Sismo,"Magnitud: 3.4, Referencia: 12 km al S de Maca, Caylloma - Arequipa",2024-02-13 12:43:18
184,-11.78,-77.46,Sismo,"Magnitud: 3.5, Referencia: 32 km al O de Ancon, Lima - Lima",2024-02-13 20:36:16
185,-3.63,-79.62,Sismo,"Magnitud: 3.9, Referencia: 74 km al E de Zarumilla, Zarumilla - Tumbes",2024-02-14 02:55:16
186,-11.79,-77.83,Sismo,"Magnitud: 4.0, Referencia: 72 km al O de Ancon, Lima - Lima",2024-02-14 18:38:16
187,-11.56,-77.52,Sismo,"Magnitud: 5.4, Referencia: 36 km al O de Huaral, Huaral - Lima",2024-02-15 21:01:16
188,-4.13,-77.16,Sismo,"Magnitud: 4.3, Referencia: 93 km al NE de Sta. Maria De Nieva, Condorcanqui - Amazonas",2024-02-16 02:02:16
189,-19.47,-70.91,Sismo,"Magnitud: 4.8, Referencia: 177 km al SO de Tacna, Tacna - Tacna",2024-02-16 11:38:16
190,-8.27,-74.25,Sismo,"Magnitud: 4.4, Referencia: 33 km al E de Pucallpa, Coronel Portillo - Ucayali",2024-02-16 07:04:16
191,-16.81,-71.57,Sismo,"Magnitud: 3.5, Referencia: 42 km al O de La Capilla, General Sanchez Cerro - Moquegua",2024-02-16 19:06:16
192,-8.58,-75.74,Sismo,"Magnitud: 4.2, Referencia: 57 km al NE de Aucayacu, Leoncio Prado - Huanuco",2024-02-17 00:09:16
